Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,IsAccurate,Position,LapStartTime,FreshTyre,TyreLife,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time(s),Sector2Time(s),Sector3Time(s),Cum.SectorTime(s),LapTime(s),LapStartTime(s),PitInTime(s),PitOutTime(s),PitStopTime(s),PrevLapTime(s),LapΔ(s),CumLapTime(s),GapToLeader,Interval,Compound_HARD,Compound_INTERMEDIATE,Compound_MEDIUM,Compound_SOFT,Compound_WET,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Status,Message,Category_CarEvent,Category_Drs,Category_Flag,Category_Other,Category_SafetyCar,Flag_BLACK AND WHITE,Flag_BLUE,Flag_CHEQUERED,Flag_CLEAR,Flag_DOUBLE YELLOW,Flag_GREEN,Flag_RED,Flag_YELLOW
0 days 01:05:25.310000,NOR,4,2.0,0 days 00:01:47.848000,0 days 00:00:37.353000,0 days 00:00:36.440000,0 days 00:00:34.055000,True,1.0,0 days 01:03:37.462000,0.0,-0.75,-1.0,0,0,2.961078676675006,3.3308256535640384,2.9138309549945123,107.84800000000001,2.451357096141269,-0.9904715284279616,0.0,0.0,0.0,1.1742684322380268,13.2314853999154,-0.994977438038504,-0.7822607359117918,-0.5395808303297519,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:25.637000,RUS,63,2.0,0 days 00:01:47.161000,0 days 00:00:37.093000,0 days 00:00:36.472000,0 days 00:00:33.596000,True,2.0,0 days 01:03:38.476000,0.0,-0.75,-1.0,0,0,2.888796219071448,3.3428625164566483,2.7878704720087817,107.161,2.395192936559843,-0.9901287326580073,0.0,0.0,0.0,1.257152198790258,11.791790097333937,-0.9948651732474032,-0.7735951557551756,-0.4522760646108941,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:26.792000,VER,1,2.0,0 days 00:01:49.972000,0 days 00:00:36.330000,0 days 00:00:36.685000,0 days 00:00:36.957000,False,3.0,0 days 01:03:36.820000,0.0,-0.75,-1.0,0,0 days 01:05:25.519000,2.6766750069502345,3.422982885085575,3.7102085620197602,109.97200000000001,2.6249999999999996,-0.9906885648030214,-1.2059819614544762,-0.5753864607722924,-0.04384283660758473,1.1217917279712286,15.572577232331833,-0.9944686416458087,-0.742987372633182,-0.23121078627690342,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:27.691000,ALB,23,2.0,0 days 00:01:48.180000,0 days 00:00:36.857000,0 days 00:00:36.643000,0 days 00:00:34.680000,True,4.0,0 days 01:03:39.511000,0.0,-0.75,-1.0,0,0,2.8231859883236012,3.4071845025390255,3.085345773874864,108.18,2.478499018966646,-0.9897788375673735,0.0,0.0,0.0,1.341752493052151,11.778247989843466,-0.9941599992996324,-0.7191636522637681,-0.2995594713656657,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:28.146000,ALO,14,2.0,0 days 00:01:50.145000,0 days 00:00:36.326000,0 days 00:00:36.088000,0 days 00:00:37.731000,False,5.0,0 days 01:03:38.001000,0.0,-0.75,-1.0,0,0 days 01:05:26.488000,2.6755629691409495,3.198420161745345,3.9226125137211874,110.14500000000001,2.6391432308698493,-0.9902893125305203,-1.2057366372353555,-0.5751516282775448,-0.0010609898008215476,1.218325976786008,14.719424460431695,-0.9940037898808224,-0.707106040730862,-0.41810172206651297,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:29.898000,PIA,81,2.0,0 days 00:01:49.109000,0 days 00:00:37.722000,0 days 00:00:37.531000,0 days 00:00:33.856000,True,6.0,0 days 01:03:40.789000,0.0,-0.75,-1.0,0,0,3.0636641645815947,3.741207447808914,2.859220636663009,109.10900000000001,2.554447351209941,-0.9893467931945908,0.0,0.0,0.0,1.4462154650972716,11.482860770207395,-0.993402297789053,-0.6606776112678897,-0.0718195167534809,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:32.550000,STR,18,2.0,0 days 00:01:50.241000,0 days 00:00:38.390000,0 days 00:00:37.670000,0 days 00:00:34.181000,True,7.0,0 days 01:03:42.309000,0.0,-0.75,-1.0,0,0,3.2493744787322756,3.7934925709986835,2.9484083424807905,110.241,2.646991497710922,-0.9888329376025489,0.0,0.0,0.0,1.5704593755108727,11.154464663563305,-0.9924918200337034,-0.5903989611903777,0.16846882926171944,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:33.046000,SAI,55,2.0,0 days 00:01:53.117000,0 days 00:00:37.457000,0 days 00:00:37.208000,0 days 00:00:38.452000,False,8.0,0 days 01:03:39.929000,0.0,-0.75,-1.0,0,0 days 01:05:31.378000,2.989991659716429,3.6197103629866456,4.12047200878156,113.11699999999999,2.8821124918247225,-0.9896375272795619,-1.204498623374157,-0.5743874650716128,0.01926894380172293,1.3759195684158918,15.603046974185409,-0.9923215346013303,-0.577254839607253,-0.40715525297025795,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:33.951000,BOT,77,2.0,0 days 00:01:50.912000,0 days 00:00:37.938000,0 days 00:00:38.497000,0 days 00:00:34.477000,True,9.0,0 days 01:03:43.039000,0.0,-0.75,-1.0,0,0,3.1237142062830126,4.104570246379537,3.0296377607025247,110.912,2.7018476128188365,-0.988586151693213,0.0,0.0,0.0,1.6301291482753,11.104528142192168,-0.9920108323507303,-0.5532721177670763,-0.2979575490589052,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:34.535000,HUL,27,2.0,0 days 00:01:51.204000,0 days 00:00:37.884000,0 days 00:00:38.605000,0 days 00:00:34.715000,True,10.0,0 days 01:03:43.331000,-1.0,-0.75,-1.0,0,0,3.1087016958576577,4.145194658642089,3.0949506037321646,111.20400000000001,2.7257194244604315,-0.9884874373294786,0.0,0.0,0.0,1.653997057381071,11.104528142192155,-0.991810334986807,-0.5377959746127522,-0.3836603924709949,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:34.591000,PER,11,2.0,0 days 00:01:49.613000,0 days 00:00:52.335000,0 days 00:00:29.343000,0 days 00:00:27.935000,False,11.0,0 days 01:03:44.978000,0.0,-0.8333333333333334,-0.5,0 days 01:04:06.020000,0,7.126216291353903,0.6612751551626854,1.234357848518112,109.613,2.5956507521255725,-0.98793064775047,0.0,0.0,0.0,1.788621873467387,8.363944138806632,-0.9917911092121844,-0.5363119608856257,-0.5246295554665881,False,True,False,False,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:38.386000,HAM,44,2.0,0 days 00:01:54.350000,0 days 00:00:39.117000,0 days 00:00:39.717000,0 days 00:00:35.516000,True,12.0,0 days 01:03:44.036000,0.0,-0.75,-1.0,0,0,3.451487350569917,4.56347564416024,3.3147639956092214,114.35,2.982913669064748,-0.9882491029923802,0.0,0.0,0.0,1.7116233447768532,13.170545916208246,-0.990488219664088,-0.4357435306276466,0.47363502870103935,False,False,True,False,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:38.501000,SAR,2,2.0,0 days 00:01:53.444000,0 days 00:00:38.342000,0 days 00:00:39.828000,0 days 00:00:35.274000,True,13.0,0 days 01:03:45.057000,0.0,-0.75,-1.0,0,0,3.236030025020849,4.605228512318978,3.24835345773875,113.444,2.908845650752126,-0.9879039407821996,0.0,0.0,0.0,1.7950792872323051,11.539568345323778,-0.9904487381626303,-0.4326960024380106,-0.5088773194500287,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:41.285000,OCO,31,2.0,0 days 00:01:56.975000,0 days 00:00:37.481000,0 days 00:00:38.425000,0 days 00:00:41.069000,False,14.0,0 days 01:03:44.310000,0.0,-0.75,-1.0,0,0 days 01:05:39.659000,2.996663886572142,4.077487304871166,4.838638858397368,116.97500000000001,3.197514715500327,-0.988156473760657,-1.2024021013323205,-0.5729257285516094,0.13159696077756555,1.7340199444171998,15.160389335590393,-0.9894929425099557,-0.3589193200036992,0.20371112001061772,False,False,False,True,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
0 days 01:05:43.310000,ZHO,24,2.0,0 days 00:01:52.606000,0 days 00:00:55.076000,0 days 00:00:30.573000,0 days 00:00:26.957000,False,15.0,0 days 01:03:50.704000,0.0,-0.8333333333333334,-0.5,0 days 01:04:12.176000,0,7.888240200166803,1.123942072597329,0.9659714599341386,112.606,2.840336821451929,-0.9859948996451857,0.0,0.0,0.0,2.2566617623017833,6.050782903089313,-0.9887977247669003,-0.3052563236209839,0.001067948204456422,False,True,False,False,False,0.058823529411763414,0.09090909090909091,0.2857142857141697,1.0,0.25757575757575757,-0.5,-2.428571428571428,TRACK CLEAR,PIT LANE INCIDENT INVOLVING CARS 20 (MAG) AND 40 (LAW) NOTED - IMPEDING,False,False,False,True,False,False,False,False,False,False,False,False,False
